Country,Year,Share below $3 a day,Share below $3 a day (Original Year)
Albania,2021,0.34092245,2020
Angola,2021,39.294704,2018
Armenia,2021,2.1180894,
Australia,2021,0.9892079,2020
Austria,2021,0.4858222,
Bangladesh,2021,5.9090796,2022
Barbados,2021,1.6773976,2016
Belarus,2021,0,2020
Belgium,2021,0.03657119,
Belize,2021,1.0364783,2018
Benin,2021,27.223417,
Bhutan,2021,0.013378284,2022
Bolivia,2021,3.0546808,
Brazil,2021,7.4646964,
Bulgaria,2021,1.2280912,
Burkina Faso,2021,42.061634,
Burundi,2021,74.19917,2020
Cameroon,2021,26.691801,
Canada,2021,0.24990198,
Central African Republic,2021,71.61735,
Chad,2021,39.475376,2022
Chile,2021,0.51983565,2022
China,2021,0,
Colombia,2021,11.228374,
Costa Rica,2021,2.159623,
Cote d'Ivoire,2021,20.902609,
Croatia,2021,0.34081304,
Cyprus,2021,0.049308844,
Czechia,2021,0.059850585,
Democratic Republic of Congo,2021,85.31767,2020
Denmark,2021,0.15367964,
Djibouti,2021,25.36088,2017
Dominican Republic,2021,1.2714583,
Ecuador,2021,5.2759323,
Egypt,2021,1.3737847,
El Salvador,2021,5.1309085,
Equatorial Guinea,2021,8.794199,2022
Estonia,2021,0.34916055,
Eswatini,2021,44.53093,2016
Ethiopia,2021,38.636116,
Fiji,2021,4.6530714,2019
Finland,2021,0.021342963,
France,2021,0.07056647,
Gabon,2021,3.8104873,2017
Gambia,2021,22.001888,2020
Georgia,2021,10.790029,
Germany,2021,0.24379632,2020
Ghana,2021,39.02579,2016
Greece,2021,0.70142734,
Grenada,2021,0.76735455,2018
Guatemala,2021,9.66095,2023
Guinea,2021,11.650445,2018
Guinea-Bissau,2021,39.86111,
Honduras,2021,17.021276,2023
Hungary,2021,0.91795725,2017
Iceland,2021,0.079942025,2019
India,2021,5.2516403,2022
Indonesia,2021,8.564435,
Iran,2021,3.708684,
Iraq,2021,0.54943144,2023
Ireland,2021,0.13114,
Israel,2021,0.72074586,
Italy,2021,0.8676234,
Jamaica,2021,1.3869244,
Japan,2021,1.2131146,2020
Kazakhstan,2021,0.040175647,
Kenya,2021,46.44985,
Kiribati,2021,6.133309,2019
Kosovo,2021,24.980827,
Kyrgyzstan,2021,5.6484838,
Laos,2021,15.656701,2018
Latvia,2021,0.49065453,
Lebanon,2021,5.8941355,2022
Lesotho,2021,41.85849,2017
Liberia,2021,33.558933,2016
Lithuania,2021,0.3185262,
Luxembourg,2021,0.08239361,
Madagascar,2021,69.17264,
Malawi,2021,75.43822,2019
Malaysia,2021,0.013082942,
Maldives,2021,0,2019
Mali,2021,36.103077,
Malta,2021,0.12168417,
Marshall Islands,2021,2.1009586,2019
Mauritania,2021,10.221504,2019
Mauritius,2021,0.5401916,2017
Mexico,2021,2.3303962,2022
Moldova,2021,0.16464782,
Mongolia,2021,0.4398251,2022
Montenegro,2021,2.493799,
Mozambique,2021,81.361374,2022
Myanmar,2021,10.266229,2017
Nepal,2021,2.4363146,2022
Netherlands,2021,0.09726311,
Niger,2021,60.48987,
Nigeria,2021,41.81955,2022
North Macedonia,2021,3.9403512,2019
Norway,2021,0.17024024,
Pakistan,2021,16.51617,2018
Palestine,2021,2.0733128,2023
Panama,2021,3.3005018,
Paraguay,2021,1.8594977,
Peru,2021,5.1898446,
Philippines,2021,15.6957445,
Poland,2021,0.11429503,
Portugal,2021,0.3274342,
Qatar,2021,0,2017
Romania,2021,2.0289817,
Russia,2021,0.041680403,2020
Rwanda,2021,38.55049,2023
Sao Tome and Principe,2021,13.006117,2017
Senegal,2021,17.887472,
Serbia,2021,1.6963208,
Seychelles,2021,0.6736329,2018
Sierra Leone,2021,41.4852,2018
Slovakia,2021,0.34402588,
Slovenia,2021,0,
South Korea,2021,0.24876492,
South Sudan,2021,76.50265,2016
Spain,2021,0.657791,
Sri Lanka,2021,2.705454,2019
Suriname,2021,2.1780427,2022
Sweden,2021,0.643469,
Switzerland,2021,0.03814099,
Syria,2021,16.470306,2022
Taiwan,2021,0,
Tajikistan,2021,9.067149,
Tanzania,2021,51.346867,2018
Thailand,2021,0.028600827,
Togo,2021,34.418003,
Tonga,2021,0.40881905,
Tunisia,2021,0.6540434,
Turkey,2021,0.9449698,
Uganda,2021,59.784378,2019
Ukraine,2021,0.033767752,2020
United Arab Emirates,2021,0,2018
United Kingdom,2021,0.49831137,
United States,2021,0.49628988,
Uruguay,2021,0.15432957,
Uzbekistan,2021,4.373623,
Vanuatu,2021,19.495604,2019
Vietnam,2021,1.6033597,2022
Zambia,2021,71.65615,2022
Zimbabwe,2021,49.219894,2019
